Suburb,Rooms,Type,Price,Regionname
Epping,3,h,507500,Northern Metropolitan
Epping,5,h,1010000,Northern Metropolitan
Essendon,4,h,1930000,Western Metropolitan
Essendon,4,h,1399000,Western Metropolitan
Essendon,3,h,1512000,Western Metropolitan
Essendon,4,h,2000000,Western Metropolitan
Essendon,3,u,552000,Western Metropolitan
Essendon,2,u,860000,Western Metropolitan
Essendon North,4,h,946000,Western Metropolitan
Essendon West,3,h,1430000,Western Metropolitan
Fairfield,4,h,1270000,Northern Metropolitan
Fawkner,3,h,635000,Northern Metropolitan
Fawkner,3,h,630000,Northern Metropolitan
Fawkner,3,h,705000,Northern Metropolitan
Fawkner,3,t,625000,Northern Metropolitan
Ferntree Gully,3,h,665508,Eastern Metropolitan
Ferntree Gully,3,h,691000,Eastern Metropolitan
Ferntree Gully,3,h,0,Eastern Metropolitan
Ferntree Gully,4,h,815000,Eastern Metropolitan
Ferntree Gully,3,h,730000,Eastern Metropolitan
Fitzroy,4,h,0,Northern Metropolitan
Fitzroy,1,u,720000,Northern Metropolitan
Fitzroy North,3,h,1890000,Northern Metropolitan
Fitzroy North,3,h,1454000,Northern Metropolitan
Fitzroy North,3,h,1310000,Northern Metropolitan
Fitzroy North,2,u,995000,Northern Metropolitan
Fitzroy North,5,h,0,Northern Metropolitan
Fitzroy North,3,h,0,Northern Metropolitan
Fitzroy North,2,h,1325000,Northern Metropolitan
Footscray,1,u,331000,Western Metropolitan
Footscray,3,h,1000000,Western Metropolitan
Footscray,2,t,771000,Western Metropolitan
Forest Hill,3,h,1260000,Eastern Metropolitan
Frankston,3,h,508000,South-Eastern Metropolitan
Frankston,2,h,501500,South-Eastern Metropolitan
Frankston North,3,h,450000,Eastern Victoria
Frankston South,4,h,351000,South-Eastern Metropolitan
Gladstone Park,4,h,650000,Western Metropolitan
Glen Iris,3,t,0,Southern Metropolitan
Glen Iris,3,h,1225000,Southern Metropolitan
Glen Iris,3,t,0,Southern Metropolitan
Glen Iris,4,h,1500000,Southern Metropolitan
Glen Iris,4,h,0,Southern Metropolitan
Glen Iris,4,h,0,Southern Metropolitan
Glen Waverley,4,t,1100080,Eastern Metropolitan
Glen Waverley,4,h,1520000,Eastern Metropolitan
Glen Waverley,7,h,1716000,Eastern Metropolitan
Glen Waverley,5,h,1100000,Eastern Metropolitan
Glen Waverley,4,h,1467000,Eastern Metropolitan
Glen Waverley,3,h,1600000,Eastern Metropolitan
Glen Waverley,4,h,1311000,Eastern Metropolitan
Glen Waverley,3,h,0,Eastern Metropolitan
Glenroy,3,t,582000,Northern Metropolitan
Gowanbrae,3,h,536000,Western Metropolitan
Gowanbrae,3,h,696000,Western Metropolitan
Greensborough,3,h,757000,Northern Metropolitan
Greensborough,4,h,860000,Northern Metropolitan
Greensborough,3,h,768000,Northern Metropolitan
Greensborough,4,h,812000,Northern Metropolitan
Greensborough,3,h,782000,Northern Metropolitan
Greensborough,3,h,725000,Northern Metropolitan
Greensborough,4,h,680000,Northern Metropolitan
Greensborough,3,h,882000,Northern Metropolitan
Greenvale,4,h,0,Northern Metropolitan
Greenvale,4,h,632000,Northern Metropolitan
Hadfield,4,h,0,Northern Metropolitan
Hadfield,4,h,812000,Northern Metropolitan
Hadfield,3,h,837000,Northern Metropolitan
Hadfield,3,h,473000,Northern Metropolitan
Hampton,4,h,0,Southern Metropolitan
Hampton,2,u,750000,Southern Metropolitan
Hampton,3,t,1510000,Southern Metropolitan
Hampton,3,h,1500000,Southern Metropolitan
Hawthorn,3,u,855000,Southern Metropolitan
Hawthorn,3,h,0,Southern Metropolitan
Hawthorn,4,h,0,Southern Metropolitan
Hawthorn,2,u,490000,Southern Metropolitan
Hawthorn,2,u,620000,Southern Metropolitan
Hawthorn,2,u,600000,Southern Metropolitan
Hawthorn,3,h,0,Southern Metropolitan
Hawthorn,3,u,975000,Southern Metropolitan
Heathmont,2,h,0,Eastern Metropolitan
Heidelberg,2,u,655000,Eastern Metropolitan
Heidelberg,4,h,1420000,Eastern Metropolitan
Heidelberg Heights,3,h,786000,Eastern Metropolitan
Heidelberg Heights,2,u,0,Eastern Metropolitan
Heidelberg Heights,3,h,959000,Eastern Metropolitan
Heidelberg West,3,h,720000,Eastern Metropolitan
Highett,4,t,0,Southern Metropolitan
Highett,3,h,1322000,Southern Metropolitan
Highett,4,h,0,Southern Metropolitan
Hillside,4,h,612500,Western Metropolitan
Hillside,4,h,630000,Western Metropolitan
Hoppers Crossing,4,h,715000,Western Metropolitan
Hoppers Crossing,3,h,0,Western Metropolitan
Hoppers Crossing,4,h,686500,Western Metropolitan
Hughesdale,2,h,1065000,Southern Metropolitan
Hughesdale,4,h,1355000,Southern Metropolitan
Huntingdale,3,h,1145000,Southern Metropolitan
Ivanhoe,2,h,792000,Eastern Metropolitan
Ivanhoe,3,h,1440000,Eastern Metropolitan
Ivanhoe,4,h,0,Eastern Metropolitan
Ivanhoe,2,u,660000,Eastern Metropolitan
Ivanhoe,3,h,1977000,Eastern Metropolitan
Ivanhoe,3,h,1840000,Eastern Metropolitan
Ivanhoe,4,h,1275000,Eastern Metropolitan
Ivanhoe East,3,h,1781000,Eastern Metropolitan
Jacana,3,h,575000,Northern Metropolitan
Jacana,3,h,542000,Northern Metropolitan
Keilor Downs,3,h,569000,Western Metropolitan
Keilor East,3,h,950000,Western Metropolitan
Keilor East,4,h,850000,Western Metropolitan
Keilor East,3,h,0,Western Metropolitan
Keilor East,3,h,756000,Western Metropolitan
Keilor East,3,h,0,Western Metropolitan
Keilor East,3,u,680000,Western Metropolitan
Kensington,1,u,360000,Northern Metropolitan
Kensington,1,u,325000,Northern Metropolitan
Kensington,4,h,1103000,Northern Metropolitan
Kensington,2,h,901000,Northern Metropolitan
Kensington,2,t,0,Northern Metropolitan
Kew,2,u,653000,Southern Metropolitan
Kew,4,h,0,Southern Metropolitan
Kew,3,h,0,Southern Metropolitan
Kew,3,h,2000000,Southern Metropolitan
Kew,3,h,0,Southern Metropolitan
Kew,4,h,1610000,Southern Metropolitan
Kew,3,h,0,Southern Metropolitan
Kew,3,h,0,Southern Metropolitan
Kew,3,h,1050000,Southern Metropolitan
Kew,3,h,0,Southern Metropolitan
Kew,3,u,830000,Southern Metropolitan
Kew East,5,h,0,Southern Metropolitan
Kew East,4,h,1770000,Southern Metropolitan
Keysborough,3,h,600000,South-Eastern Metropolitan
Kingsville,3,h,0,Western Metropolitan
Kingsville,3,h,0,Western Metropolitan
Kingsville,3,h,0,Western Metropolitan
Knoxfield,4,h,0,Eastern Metropolitan
Kurunjang,4,h,0,Northern Victoria
Lalor,3,h,592000,Northern Metropolitan
Lilydale,4,h,0,Eastern Victoria
MacLeod,5,h,0,Northern Metropolitan
MacLeod,4,h,1120000,Northern Metropolitan
MacLeod,3,u,710000,Northern Metropolitan
MacLeod,3,h,915000,Northern Metropolitan
Maidstone,2,u,0,Western Metropolitan
Malvern,1,u,360000,Southern Metropolitan
Malvern,3,h,1350000,Southern Metropolitan
Malvern,1,u,450000,Southern Metropolitan
Malvern,4,h,0,Southern Metropolitan
Malvern East,3,h,0,Southern Metropolitan
Malvern East,3,h,2000000,Southern Metropolitan
Malvern East,3,t,1150000,Southern Metropolitan
Maribyrnong,3,h,813000,Western Metropolitan
Maribyrnong,2,u,330000,Western Metropolitan
Maribyrnong,5,h,1425000,Western Metropolitan
McKinnon,3,u,875000,Southern Metropolitan
McKinnon,2,h,1265000,Southern Metropolitan
McKinnon,3,h,1200000,Southern Metropolitan
Meadow Heights,3,h,520000,Northern Metropolitan
Melbourne,2,u,605000,Northern Metropolitan
Melbourne,2,u,649000,Northern Metropolitan
Melbourne,1,u,440000,Northern Metropolitan
Melton,3,h,431000,Western Victoria
Mentone,4,h,1300000,South-Eastern Metropolitan
Mentone,1,u,337000,South-Eastern Metropolitan
Mentone,3,t,0,South-Eastern Metropolitan
Mernda,4,h,525500,Northern Metropolitan
Middle Park,2,u,800000,Southern Metropolitan
Mill Park,3,h,425000,Northern Metropolitan
Mill Park,3,h,595500,Northern Metropolitan
Mill Park,3,h,660000,Northern Metropolitan
Mitcham,4,h,0,Eastern Metropolitan
Mitcham,3,h,1300000,Eastern Metropolitan
Montmorency,3,h,820000,Eastern Metropolitan
Montmorency,3,h,725000,Eastern Metropolitan
Moonee Ponds,2,h,1180000,Western Metropolitan
Moonee Ponds,2,h,910000,Western Metropolitan
Moonee Ponds,3,h,887500,Western Metropolitan
Moonee Ponds,3,h,1143000,Western Metropolitan
Moonee Ponds,3,u,0,Western Metropolitan
Moonee Ponds,3,h,1117500,Western Metropolitan
Moonee Ponds,3,h,1330000,Western Metropolitan
Moorabbin,2,h,800000,Southern Metropolitan
Moorabbin,5,h,1410000,Southern Metropolitan
Moorabbin,1,t,457500,Southern Metropolitan
Mooroolbark,3,h,778000,Eastern Victoria
Mordialloc,3,t,822000,South-Eastern Metropolitan
Mordialloc,3,h,895000,South-Eastern Metropolitan
Mordialloc,4,h,1300000,South-Eastern Metropolitan
Mount Waverley,2,u,568888,Eastern Metropolitan
Mount Waverley,4,h,1500000,Eastern Metropolitan
Mount Waverley,3,t,1030000,Eastern Metropolitan
Mount Waverley,2,u,0,Eastern Metropolitan
Mount Waverley,4,t,0,Eastern Metropolitan
Mount Waverley,5,h,0,Eastern Metropolitan
Mount Waverley,4,h,1275000,Eastern Metropolitan
Mount Waverley,3,h,1360000,Eastern Metropolitan
Mount Waverley,5,h,0,Eastern Metropolitan
Mount Waverley,5,h,0,Eastern Metropolitan
Mount Waverley,4,h,980000,Eastern Metropolitan
Mount Waverley,3,t,0,Eastern Metropolitan
Mount Waverley,5,h,1601000,Eastern Metropolitan
Mount Waverley,4,h,1780000,Eastern Metropolitan
Mulgrave,3,h,630000,South-Eastern Metropolitan
Mulgrave,4,h,925000,South-Eastern Metropolitan
Mulgrave,3,h,868000,South-Eastern Metropolitan
Mulgrave,5,h,880000,South-Eastern Metropolitan
Mulgrave,3,h,920000,South-Eastern Metropolitan
Murrumbeena,4,h,1550000,Southern Metropolitan
Murrumbeena,2,u,720000,Southern Metropolitan
Murrumbeena,2,u,586500,Southern Metropolitan
Narre Warren,3,h,551000,South-Eastern Metropolitan
Narre Warren,4,h,510000,South-Eastern Metropolitan
Newport,2,h,1032000,Western Metropolitan
Newport,3,h,1270000,Western Metropolitan
Noble Park,4,h,710000,South-Eastern Metropolitan
North Melbourne,6,h,1815000,Northern Metropolitan
North Melbourne,1,u,420000,Northern Metropolitan
Northcote,2,h,1200000,Northern Metropolitan
Northcote,1,u,345000,Northern Metropolitan
Northcote,3,h,0,Northern Metropolitan
Northcote,3,t,1075000,Northern Metropolitan
Northcote,3,h,1332000,Northern Metropolitan
Northcote,1,u,0,Northern Metropolitan
Nunawading,3,h,685000,Eastern Metropolitan
Nunawading,3,h,1185000,Eastern Metropolitan
Nunawading,3,h,806000,Eastern Metropolitan
Oak Park,3,h,857000,Northern Metropolitan
Oak Park,4,h,945000,Northern Metropolitan
Oakleigh,4,t,986000,Southern Metropolitan
Oakleigh South,2,h,1120000,South-Eastern Metropolitan
Oakleigh South,3,u,710000,South-Eastern Metropolitan
Ormond,2,u,420000,Southern Metropolitan
Ormond,2,u,490000,Southern Metropolitan
Ormond,3,h,0,Southern Metropolitan
Ormond,3,t,1100000,Southern Metropolitan
Pakenham,3,h,378000,Eastern Victoria
Parkdale,3,h,1260000,South-Eastern Metropolitan
Parkdale,3,h,1200000,South-Eastern Metropolitan
Parkdale,2,u,669000,South-Eastern Metropolitan
Parkville,1,u,668000,Northern Metropolitan
Pascoe Vale,4,h,945000,Northern Metropolitan
Pascoe Vale,2,t,650000,Northern Metropolitan
Pascoe Vale,4,h,1510000,Northern Metropolitan
Pascoe Vale,2,t,522000,Northern Metropolitan
Pascoe Vale,3,u,760000,Northern Metropolitan
Pascoe Vale,3,h,930000,Northern Metropolitan
Patterson Lakes,3,t,645000,South-Eastern Metropolitan
Plenty,4,h,0,Northern Victoria
Point Cook,3,h,641000,Western Metropolitan
Point Cook,4,h,720000,Western Metropolitan
Port Melbourne,2,u,625000,Southern Metropolitan
Port Melbourne,3,h,1400000,Southern Metropolitan
Port Melbourne,1,u,505000,Southern Metropolitan
Port Melbourne,3,h,1650000,Southern Metropolitan
Prahran,1,u,311000,Southern Metropolitan
Prahran,2,h,1325000,Southern Metropolitan
Prahran,3,h,0,Southern Metropolitan
Prahran,2,u,940000,Southern Metropolitan
Preston,3,t,893000,Northern Metropolitan
Preston,2,u,410000,Northern Metropolitan
Preston,3,t,640000,Northern Metropolitan
Preston,3,h,1239500,Northern Metropolitan
Preston,2,h,530000,Northern Metropolitan
Reservoir,3,h,610000,Northern Metropolitan
Reservoir,2,h,710000,Northern Metropolitan
Reservoir,3,h,0,Northern Metropolitan
Reservoir,1,u,357500,Northern Metropolitan
Reservoir,2,u,560000,Northern Metropolitan
Reservoir,2,u,390000,Northern Metropolitan
Reservoir,4,h,0,Northern Metropolitan
Reservoir,3,h,700000,Northern Metropolitan
Reservoir,2,h,846000,Northern Metropolitan
Reservoir,3,h,500000,Northern Metropolitan
Reservoir,5,h,1100000,Northern Metropolitan
Reservoir,3,h,0,Northern Metropolitan
Reservoir,2,t,655000,Northern Metropolitan
Reservoir,2,h,520000,Northern Metropolitan
Reservoir,3,h,850000,Northern Metropolitan
Reservoir,3,t,0,Northern Metropolitan
Reservoir,3,h,886500,Northern Metropolitan
Richmond,2,h,1110000,Northern Metropolitan
Richmond,2,u,906000,Northern Metropolitan
Richmond,2,t,1100000,Northern Metropolitan
Richmond,2,u,610000,Northern Metropolitan
Richmond,1,u,550000,Northern Metropolitan
Richmond,2,u,514500,Northern Metropolitan
Richmond,3,h,0,Northern Metropolitan
Richmond,3,h,1619000,Northern Metropolitan
Riddells Creek,3,h,410000,Northern Victoria
Ringwood,3,t,0,Eastern Metropolitan
Ringwood,2,u,0,Eastern Metropolitan
Ringwood,3,h,739000,Eastern Metropolitan
Ringwood East,4,h,901000,Eastern Metropolitan
Ringwood East,3,h,700000,Eastern Metropolitan
Ringwood North,3,h,805000,Eastern Metropolitan
Rosanna,3,h,0,Eastern Metropolitan
Rosanna,2,t,0,Eastern Metropolitan
Rowville,3,h,0,South-Eastern Metropolitan
Rowville,4,h,0,South-Eastern Metropolitan
Rowville,4,h,868200,South-Eastern Metropolitan
Roxburgh Park,3,h,0,Northern Metropolitan
Roxburgh Park,4,h,462000,Northern Metropolitan
Roxburgh Park,4,h,448000,Northern Metropolitan
Roxburgh Park,3,h,393500,Northern Metropolitan
Roxburgh Park,3,h,0,Northern Metropolitan
Sandringham,4,h,0,Southern Metropolitan
Sandringham,3,h,1450000,Southern Metropolitan
Sandringham,3,t,0,Southern Metropolitan
Scoresby,3,h,821000,Eastern Metropolitan
Seaford,4,h,701000,South-Eastern Metropolitan
Seddon,3,h,865500,Western Metropolitan
Seddon,2,u,362000,Western Metropolitan
South Melbourne,2,u,0,Southern Metropolitan
South Melbourne,2,u,651000,Southern Metropolitan
South Morang,4,h,711000,Northern Metropolitan
South Morang,4,h,560000,Northern Metropolitan
South Morang,3,t,387000,Northern Metropolitan
South Morang,4,h,0,Northern Metropolitan
South Morang,5,h,920000,Northern Metropolitan
South Morang,4,h,706000,Northern Metropolitan
South Yarra,1,u,480000,Southern Metropolitan
South Yarra,2,u,495000,Southern Metropolitan
South Yarra,4,h,0,Southern Metropolitan
South Yarra,2,u,705000,Southern Metropolitan
South Yarra,1,u,392000,Southern Metropolitan
Southbank,2,u,630000,Southern Metropolitan
Spotswood,3,t,667500,Western Metropolitan
Springvale,3,h,860000,South-Eastern Metropolitan
St Albans,4,h,860000,Western Metropolitan
St Albans,3,h,610000,Western Metropolitan
St Albans,3,h,605000,Western Metropolitan
St Albans,3,h,645000,Western Metropolitan
St Albans,3,h,0,Western Metropolitan
St Albans,1,h,1100000,Western Metropolitan
St Kilda,3,u,640000,Southern Metropolitan
St Kilda,1,u,0,Southern Metropolitan
St Kilda,2,u,501500,Southern Metropolitan
Strathmore,3,t,890000,Western Metropolitan
Strathmore,4,h,1301000,Western Metropolitan
Strathmore Heights,3,h,900000,Western Metropolitan
Sunshine,3,h,890000,Western Metropolitan
Sunshine,3,h,0,Western Metropolitan
Sunshine,2,u,430000,Western Metropolitan
Sunshine,3,h,1200000,Western Metropolitan
Sunshine,3,h,612000,Western Metropolitan
Sunshine North,3,h,732000,Western Metropolitan
Sunshine North,4,h,861800,Western Metropolitan
Sunshine West,4,t,630000,Western Metropolitan
Sunshine West,3,h,0,Western Metropolitan
Surrey Hills,2,u,0,Southern Metropolitan
Surrey Hills,4,h,0,Southern Metropolitan
Surrey Hills,4,h,1600000,Southern Metropolitan
Surrey Hills,2,h,0,Southern Metropolitan
Surrey Hills,3,h,0,Southern Metropolitan
Sydenham,5,h,593000,Western Metropolitan
Sydenham,4,h,547000,Western Metropolitan
Taylors Lakes,3,h,0,Western Metropolitan
Taylors Lakes,4,h,645500,Western Metropolitan
Templestowe,5,h,1952000,Eastern Metropolitan
Templestowe,3,h,1175000,Eastern Metropolitan
Templestowe,4,h,1750000,Eastern Metropolitan
Templestowe,4,h,1380000,Eastern Metropolitan
Templestowe,3,t,965000,Eastern Metropolitan
Templestowe Lower,4,h,1051888,Eastern Metropolitan
Templestowe Lower,5,h,1310000,Eastern Metropolitan
Templestowe Lower,4,h,1150000,Eastern Metropolitan
Templestowe Lower,4,h,1255000,Eastern Metropolitan
Templestowe Lower,5,h,1351000,Eastern Metropolitan
Templestowe Lower,3,h,1161500,Eastern Metropolitan
Thomastown,3,h,580000,Northern Metropolitan
Thomastown,3,h,745000,Northern Metropolitan
Thomastown,3,h,576000,Northern Metropolitan
Thomastown,3,u,517000,Northern Metropolitan
Thomastown,3,h,525000,Northern Metropolitan
Thornbury,2,u,0,Northern Metropolitan
